kommunenummer;kommunenavn;arealnoytral
1820;Alstahaug;
5601;Alta;
3428;Alvdal;
4631;Alver;
1871;Andøy;
3124;Aremark;
4203;Arendal;
3203;Asker;
4645;Askvoll;
4627;Askøy;
1547;Aukra;
1576;Aure;1
4641;Aurland;
3226;Aurskog-Høland;1
4625;Austevoll;
4632;Austrheim;
1554;Averøy;
5532;Balsfjord;
4012;Bamble;1
5520;Bardu;
1839;Beiarn;
4601;Bergen;
5630;Berlevåg;
1811;Bindal;1
4216;Birkenes;
1114;Bjerkreim;
4624;Bjørnafjorden;
1804;Bodø;1
1145;Bokn;
4648;Bremanger;
1813;Brønnøy;
4220;Bygland;1
4222;Bykle;
3201;Bærum;
1867;Bø;
4613;Bømlo;1
5632;Båtsfjord;
5628;Deatnu - Tana;
5512;Dielddanuorri - Tjeldsund;
3431;Dovre;
3301;Drammen;
4016;Drangedal;
5528;Dyrøy;
1827;Dønna;
4619;Eidfjord;
3416;Eidskog;
3240;Eidsvoll;
1101;Eigersund;
3420;Elverum;
3220;Enebakk;
3425;Engerdal;
4611;Etne;
3450;Etnedal;
1853;Evenes - Evenássi;
4219;Evje og Hornnes;
4206;Farsund;
1841;Fauske - Fuossko;
4633;Fedje;
4615;Fitjar;
4646;Fjaler;
1578;Fjord;
1859;Flakstad;1
5049;Flatanger;
4207;Flekkefjord;
3334;Flesberg;
3320;Flå;
3429;Folldal;
3107;Fredrikstad;1
3214;Frogn;1
4214;Froland;
5036;Frosta;
5014;Frøya;
4032;Fyresdal;
3911;Færder;
5540;Gáivuotna - Kåfjord - Kaivuono;
5626;Gamvik;
3441;Gausdal;
1838;Gildeskål;
1532;Giske;
1557;Gjemnes;
3230;Gjerdrum;
4211;Gjerstad;
1122;Gjesdal;1
3407;Gjøvik;
4650;Gloppen;
3324;Gol;
3446;Gran;
1825;Grane;
5516;Gratangen - Rivtták;
4202;Grimstad;
5045;Grong;
3417;Grue;
4635;Gulen;1
5612;Guovdageaidnu - Kautokeino;
1875;Hábmer - Hamarøy;
1866;Hadsel;
3101;Halden;
3403;Hamar;1
5603;Hammerfest - Hámmerfeasta;1
1580;Haram;
1517;Hareid;
5503;Harstad - Hárstták;
5616;Hasvik;
1106;Haugesund;1
5055;Heim;
1832;Hemnes;
3326;Hemsedal;1
1515;Herøy (Møre og Romsdal);
1818;Herøy (Nordland);
5056;Hitra;
4024;Hjartdal;1
1133;Hjelmeland;
3330;Hol;1
3310;Hole;
3903;Holmestrand;
5026;Holtålen;
3901;Horten;1
3242;Hurdal;1
1579;Hustadvika;
3110;Hvaler;
4637;Hyllestad;
4226;Hægebostad;
4638;Høyanger;1
5046;Høylandet;
1119;Hå;
5514;Ibestad;
5053;Inderøy;
5054;Indre Fosen;
3118;Indre Østfold;
4218;Iveland;
3236;Jevnaker;1
5610;Kárásjohka - Karasjok;
5534;Karlsøy;1
1149;Karmøy;
4602;Kinn;1
1120;Klepp;
3303;Kongsberg;
3401;Kongsvinger;
4014;Kragerø;
4204;Kristiansand;
1505;Kristiansund;
3318;Krødsherad;
4622;Kvam;
4227;Kvinesdal;1
4617;Kvinnherad;
4028;Kviteseid;
1144;Kvitsøy;
5510;Kvæfjord;
5546;Kvænangen;
3909;Larvik;1
5624;Lebesby;
1822;Leirfjord;
5052;Leka;
3432;Lesja;1
5037;Levanger - Levangke;
3312;Lier;
5042;Lierne;
3405;Lillehammer;
4215;Lillesand;
3205;Lillestrøm;1
4205;Lindesnes;
5518;Loabák - Lavangen;
3434;Lom;
5614;Loppa;
1112;Lund;
3234;Lunner;
1834;Lurøy;
4644;Luster;
4225;Lyngdal;
5536;Lyngen;
4642;Lærdal;1
1851;Lødingen;
3222;Lørenskog;1
3412;Løten;
5031;Malvik;1
3122;Marker;
4634;Masfjorden;
5028;Melhus;
1837;Meløy;
5034;Meråker;
5027;Midtre Gauldal;
4020;Midt-Telemark;
4629;Modalen;
3316;Modum;
1506;Molde;
1874;Moskenes;
3103;Moss;
5524;Målselv;
5618;Måsøy;
