kommunenummer,iKomNr,KomNavn,iKomNr2023,txtFylke,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020,pop2021,pop2022,pop2023,pop2024,pop2025,pop2026,pop2027,pop2028,pop2029,pop2030,pop2031,pop2032,pop2033,pop2034,pop2035,pop2036,pop2037,pop2038,pop2039,pop2040,pop2041,pop2042,pop2043,pop2044,pop2045,pop2046,pop2047,pop2048,pop2049,pop2050,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010
5514,5514,Ibestad,5413,54,1419,1410,1421,1436,1410,1403,1394,1380,1375,1361,1320,1289,1279,1311,1339,1356,1364,1367,1366,1361,1356,1352,1349,1346,1343,1340,1337,1335,1332,1329,1327,1324,1321,1318,1316,1313,1310,1307,1304,1302,1763,1724,1715,1689,1696,1649,1630,1574,1511,1440,1408
3424,3424,Rendalen,3424,34,1974,1959,1910,1883,1885,1881,1858,1827,1791,1780,1741,1722,1769,1837,1882,1917,1942,1961,1973,1978,1984,1989,1994,1999,2004,2008,2012,2017,2020,2024,2028,2032,2035,2039,2042,2046,2048,2051,2053,2055,2257,2284,2217,2193,2146,2105,2082,2055,2029,2014,1998
3120,3120,Rakkestad,3016,30,7601,7698,7860,7974,8020,8084,8173,8202,8230,8255,8222,8312,8371,8420,8456,8489,8521,8560,8605,8656,8705,8754,8801,8846,8891,8935,8977,9018,9058,9096,9132,9167,9201,9233,9263,9292,9319,9345,9369,9392,7076,7158,7159,7217,7232,7284,7366,7428,7515,7496,7517
3207,3207,Nordre Follo,3020,30,53659,54490,55270,55797,56355,57053,57686,58058,58237,59288,60034,61032,62245,63560,64529,65300,65882,66382,66809,67170,67543,67926,68314,68704,69096,69490,69876,70256,70628,70994,71351,71701,72041,72370,72686,72985,73267,73528,73767,73983,48347,48542,48915,49398,49931,50386,50907,51240,51680,52311,52905
5047,5047,Overhalla,5047,50,3636,3679,3688,3732,3751,3825,3840,3845,3879,3884,3865,3817,3873,3924,3985,4026,4049,4064,4072,4076,4078,4081,4083,4085,4087,4090,4092,4094,4097,4099,4102,4104,4105,4106,4106,4106,4105,4103,4101,4098,3659,3626,3600,3606,3540,3476,3493,3505,3507,3562,3577
3438,3438,Sør-Fron,3438,34,3212,3208,3193,3191,3204,3154,3163,3146,3127,3119,3064,3064,3240,3119,3116,3110,3103,3098,3098,3100,3102,3104,3106,3108,3110,3113,3116,3120,3123,3127,3130,3134,3136,3139,3141,3142,3142,3141,3139,3137,3322,3337,3323,3335,3292,3271,3231,3199,3170,3183,3175
3420,3420,Elverum,3420,34,19979,20152,20343,20563,20794,21030,21086,21123,21191,21254,21292,21435,21568,21761,21837,21889,21920,21957,22000,22047,22091,22134,22174,22212,22248,22284,22316,22346,22373,22400,22425,22448,22470,22491,22511,22530,22547,22563,22577,22590,18046,18271,18527,18638,18805,18844,18992,19260,19465,19687,19834
1560,1560,Tingvoll,1560,15,3065,3101,3116,3064,3090,3103,3109,3078,3045,3025,2985,2960,3031,3041,3075,3094,3100,3105,3108,3109,3111,3113,3115,3118,3121,3124,3127,3130,3133,3136,3139,3142,3145,3147,3150,3152,3154,3156,3157,3158,3148,3128,3146,3146,3120,3105,3099,3084,3082,3062,3071
3103,3103,Moss,3002,30,44691,45414,45955,46409,47044,47640,48154,48671,48871,49273,49668,50290,51240,52051,52692,53215,53625,54011,54379,54728,55079,55431,55782,56130,56477,56823,57159,57488,57809,58122,58426,58723,59013,59294,59564,59825,60073,60309,60533,60744,39921,40608,40877,41309,41485,41752,42044,42472,42987,43693,44323
4651,4651,Stryn,4651,46,7018,7065,7105,7134,7155,7168,7218,7195,7167,7130,7118,7207,7244,7271,7296,7302,7289,7280,7275,7273,7272,7271,7271,7269,7267,7265,7263,7260,7256,7252,7248,7244,7241,7237,7234,7229,7225,7219,7213,7205,6666,6774,6734,6768,6855,6843,6779,6706,6769,6844,6967
4601,4601,Bergen,4601,46,260392,263762,267950,271949,275112,277391,278556,279792,281190,283929,285601,286930,289330,291940,294638,296762,298275,299775,301273,302749,304229,305687,307108,308491,309827,311114,312308,313414,314443,315394,316269,317070,317806,318484,319104,319675,320193,320670,321101,321493,229496,230948,233291,235423,237430,239209,242158,244620,247746,252051,256600
1820,1820,Alstahaug,1820,18,7296,7372,7361,7394,7454,7437,7428,7450,7415,7447,7394,7333,7300,7421,7498,7543,7558,7565,7564,7554,7544,7534,7524,7513,7502,7491,7480,7468,7455,7442,7428,7415,7401,7387,7372,7356,7340,7324,7307,7290,7440,7404,7434,7445,7378,7398,7306,7225,7207,7208,7196
3422,3422,Åmot,3422,34,4317,4337,4387,4455,4456,4429,4518,4480,4407,4356,4338,4195,4213,4289,4424,4519,4582,4630,4665,4687,4708,4726,4742,4756,4768,4780,4790,4799,4806,4813,4819,4824,4828,4833,4837,4841,4844,4849,4852,4856,4379,4396,4398,4389,4425,4398,4348,4284,4329,4280,4285
1806,1806,Narvik,1806,18,21517,21569,21663,21820,21946,21924,21976,21875,21899,21845,21661,21530,21515,21580,21536,21475,21388,21311,21242,21181,21123,21065,21007,20950,20895,20840,20784,20726,20668,20609,20548,20487,20425,20362,20299,20236,20171,20106,20040,19973,21498,21511,21390,21368,21362,21308,21254,21210,21319,21334,21429
1120,1120,Klepp,1120,11,17397,17746,18227,18485,18741,18970,19042,19217,19354,19588,19848,20163,20615,20900,21158,21381,21569,21748,21921,22089,22254,22419,22581,22744,22907,23070,23230,23385,23535,23680,23818,23949,24075,24194,24307,24413,24512,24604,24689,24766,13789,13884,14009,14135,14313,14536,14832,15271,15839,16350,16918
5028,5028,Melhus,5028,50,15028,15392,15679,15844,15916,16096,16213,16424,16562,16733,16949,17123,17340,17560,17727,17856,17950,18039,18123,18201,18283,18366,18450,18533,18617,18701,18782,18862,18939,19014,19087,19158,19227,19293,19356,19416,19472,19524,19572,19615,13169,13302,13425,13579,13782,13977,14176,14304,14457,14655,14841
3447,3447,Søndre Land,3447,34,5837,5761,5703,5701,5772,5758,5717,5650,5623,5617,5579,5535,5564,5587,5602,5611,5615,5624,5638,5657,5675,5693,5711,5728,5746,5763,5779,5795,5810,5825,5839,5852,5864,5875,5886,5897,5907,5916,5925,5933,6073,6100,6096,6127,6042,6008,5977,5932,5853,5797,5811
5056,5056,Hitra,5056,50,4972,4984,5006,5042,5071,5066,5078,5055,5060,5050,5140,5156,5281,5323,5405,5472,5522,5571,5619,5668,5716,5763,5809,5854,5898,5941,5982,6021,6058,6093,6126,6157,6187,6215,6242,6267,6291,6314,6336,6356,4923,4926,4898,4893,4892,4879,4867,4857,4882,4885,4907
3234,3234,Lunner,3054,30,8654,8776,8880,8952,9003,9044,9080,9065,9051,9048,9062,9144,9307,9357,9410,9453,9485,9518,9552,9587,9623,9660,9698,9736,9774,9813,9851,9888,9924,9958,9992,10024,10055,10084,10111,10137,10161,10182,10202,10220,8264,8429,8455,8461,8463,8505,8518,8522,8598,8552,8600
4640,4640,Sogndal,4640,46,10728,10922,11069,11197,11257,11431,11561,11666,11801,11847,11938,12097,12198,12319,12437,12539,12621,12707,12795,12885,12973,13057,13138,13216,13289,13359,13423,13480,13533,13580,13624,13664,13701,13735,13767,13796,13823,13848,13870,13889,10362,10365,10309,10378,10354,10434,10441,10420,10443,10472,10561
3320,3320,Flå,3039,30,1000,1034,1050,1033,1033,1074,1081,1069,1052,1050,1049,1057,1097,1115,1154,1182,1202,1217,1227,1233,1238,1244,1250,1255,1261,1266,1272,1277,1281,1286,1289,1293,1296,1299,1301,1304,1306,1308,1310,1311,1102,1066,1065,1049,1030,1014,998,989,974,1011,998
1865,1865,Vågan,1865,18,9023,9086,9207,9223,9285,9350,9444,9611,9595,9608,9670,9724,9736,9793,9909,9989,10034,10073,10109,10141,10173,10205,10235,10263,10289,10313,10334,10352,10368,10383,10395,10406,10414,10421,10427,10430,10433,10433,10433,10431,9229,9172,9094,9036,9052,9034,9021,8992,8933,8976,9023
5616,5616,Hasvik,5433,54,972,995,1023,1037,1041,1054,1037,1022,1045,1005,983,964,970,979,1002,1020,1034,1047,1059,1069,1079,1088,1096,1104,1112,1119,1125,1132,1138,1144,1150,1155,1161,1166,1171,1175,1179,1183,1186,1189,1200,1204,1184,1107,1095,1049,1033,1005,998,970,934
1859,1859,Flakstad,1859,18,1360,1383,1376,1368,1358,1336,1349,1301,1292,1272,1238,1216,1220,1229,1262,1282,1294,1301,1306,1308,1310,1312,1314,1317,1319,1321,1323,1325,1326,1327,1328,1328,1328,1328,1328,1327,1326,1326,1325,1324,1575,1554,1540,1527,1484,1470,1454,1458,1441,1419,1369
3105,3105,Sarpsborg,3003,30,52805,53333,53696,54059,54192,54678,55127,55543,55997,56732,57372,58182,59038,59771,60324,60790,61161,61504,61821,62113,62406,62698,62990,63281,63571,63862,64145,64420,64687,64945,65195,65435,65666,65888,66098,66297,66485,66660,66823,66973,47447,47993,48555,49044,49423,49753,50115,50593,51053,51723,52159
1525,1525,Stranda,1525,15,4575,4602,4610,4616,4605,4598,4623,4587,4565,4523,4482,4467,4421,4348,4343,4333,4317,4306,4298,4295,4292,4291,4290,4290,4292,4294,4296,4298,4300,4302,4303,4305,4306,4307,4308,4307,4307,4305,4302,4298,4677,4656,4683,4705,4663,4605,4544,4500,4543,4533,4531
5534,5534,Karlsøy,5423,54,2357,2355,2317,2334,2289,2282,2273,2263,2252,2200,2172,2179,2171,2237,2298,2345,2378,2402,2418,2426,2434,2442,2449,2457,2464,2471,2478,2484,2490,2495,2501,2506,2512,2517,2522,2526,2531,2534,2538,2541,2496,2465,2464,2463,2406,2372,2369,2344,2404,2383,2371
3218,3218,Ås,3021,30,16733,17284,17568,17969,18503,18992,19288,20084,20335,20439,20439,20780,21350,22005,22758,23344,23774,24128,24416,24642,24874,25105,25334,25559,25779,25995,26203,26402,26593,26775,26949,27115,27273,27424,27568,27704,27834,27957,28072,28182,13568,13838,14037,14227,14323,14472,14530,14873,15324,15863,16386
3411,3411,Ringsaker,3411,34,32842,33191,33406,33463,33603,33597,33842,34151,34488,34768,34897,35073,35475,35612,35706,35785,35843,35921,36018,36135,36253,36374,36497,36622,36747,36872,36991,37104,37211,37312,37408,37500,37586,37668,37744,37815,37880,37938,37990,38036,31622,31720,31701,31830,31732,31824,31923,31974,32144,32402,32524
4227,4227,Kvinesdal,4227,42,5816,5834,5899,5891,5948,5981,5988,6024,6048,5987,5922,5883,6024,6192,6245,6275,6284,6290,6291,6289,6286,6282,6277,6273,6268,6264,6260,6256,6252,6247,6242,6237,6232,6226,6219,6212,6204,6195,6185,6174,5554,5547,5530,5578,5547,5582,5564,5595,5629,5690,5776
3305,3305,Ringerike,3007,30,28946,29236,29400,29624,29712,29801,30034,30283,30442,30641,30835,31011,31444,31581,31746,31893,32014,32152,32304,32471,32634,32793,32950,33107,33263,33421,33574,33722,33865,34003,34135,34260,34380,34495,34604,34709,34809,34904,34994,35080,27917,28030,27912,28055,28060,28079,28197,28385,28523,28645,28806
4611,4611,Etne,4611,46,3909,3963,4040,4057,4103,4106,4135,4083,4077,4062,4053,4043,4073,4072,4056,4040,4022,4008,3995,3984,3973,3963,3952,3942,3932,3921,3911,3901,3891,3881,3871,3861,3851,3842,3833,3824,3814,3804,3794,3783,3917,3945,3966,3960,3916,3904,3872,3858,3852,3854,3882
4211,4211,Gjerstad,4211,42,2497,2478,2484,2489,2481,2473,2511,2467,2454,2428,2430,2427,2421,2444,2452,2455,2454,2453,2452,2451,2450,2449,2447,2447,2446,2445,2445,2444,2444,2443,2442,2440,2440,2437,2436,2433,2431,2428,2426,2423,2509,2493,2486,2511,2541,2500,2506,2513,2519,2496,2478
4005,4005,Notodden,3808,38,12396,12469,12497,12609,12599,12717,12757,12664,12682,13049,12994,13029,13025,13266,13384,13462,13503,13532,13550,13556,13561,13565,13568,13570,13572,13573,13574,13573,13572,13571,13570,13569,13567,13565,13562,13558,13554,13548,13542,13535,12272,12256,12340,12402,12322,12359,12314,12221,12232,12313,12390
3428,3428,Alvdal,3428,34,2447,2431,2449,2432,2418,2426,2441,2424,2418,2432,2405,2445,2493,2526,2541,2548,2546,2542,2535,2525,2515,2506,2496,2487,2477,2468,2459,2450,2441,2432,2424,2416,2409,2401,2394,2387,2380,2373,2366,2359,2417,2415,2409,2422,2406,2416,2392,2430,2413,2399,2441
3417,3417,Grue,3417,34,5024,5003,4997,4948,4853,4763,4777,4740,4646,4612,4545,4548,4572,4532,4543,4548,4548,4548,4548,4548,4548,4550,4551,4553,4554,4555,4555,4556,4555,4555,4554,4552,4550,4548,4546,4544,4542,4539,4536,4533,5442,5526,5412,5395,5312,5275,5218,5152,5078,5080,5078
4618,4618,Ullensvang,4618,46,11431,11413,11437,11469,11463,11435,11510,11294,11152,11048,11002,10881,11148,11017,10972,10914,10841,10780,10729,10689,10650,10613,10578,10544,10512,10483,10455,10428,10400,10373,10346,10318,10290,10261,10231,10201,10169,10137,10104,10070,12440,12382,12247,12123,12054,11973,11779,11626,11569,11427,11465
4220,4220,Bygland,4220,42,1239,1219,1207,1200,1189,1204,1200,1207,1192,1162,1142,1134,1136,1180,1210,1233,1249,1262,1272,1279,1286,1292,1297,1302,1306,1310,1314,1317,1320,1322,1325,1327,1329,1331,1333,1335,1336,1338,1339,1341,1351,1341,1314,1296,1318,1327,1296,1272,1242,1225,1223
1860,1860,Vestvågøy,1860,18,10780,10848,10870,10997,11140,11198,11294,11397,11480,11433,11521,11566,11551,11619,11657,11675,11673,11676,11685,11699,11714,11729,11744,11759,11774,11789,11802,11813,11823,11830,11835,11839,11841,11840,11838,11833,11827,11820,11810,11800,10750,10769,10668,10751,10813,10764,10797,10745,10710,10706,10674
1848,1848,Steigen,1848,18,2619,2609,2552,2579,2507,2543,2543,2534,2576,2608,2586,2591,2665,2672,2695,2710,2718,2727,2737,2749,2761,2773,2784,2795,2805,2814,2822,2829,2836,2842,2848,2853,2858,2863,2867,2870,2873,2875,2876,2877,2977,2936,2889,2875,2863,2802,2760,2680,2672,2665,2619
4225,4225,Lyngdal,4225,42,9475,9584,9739,9845,10085,10247,10353,10357,10389,10365,10464,10480,10751,10835,10952,11027,11066,11099,11127,11149,11172,11194,11214,11234,11253,11271,11289,11306,11322,11337,11352,11366,11380,11392,11404,11414,11422,11429,11435,11439,8594,8700,8746,8725,8784,8819,8852,8963,9146,9266,9409
4206,4206,Farsund,4206,42,9415,9433,9441,9516,9596,9705,9769,9726,9695,9691,9645,9622,9860,9876,9920,9931,9913,9895,9879,9862,9847,9832,9817,9804,9791,9778,9767,9754,9741,9728,9715,9703,9690,9678,9666,9653,9641,9628,9614,9599,9630,9625,9497,9578,9497,9479,9446,9386,9392,9427,9410
4201,4201,Risør,4201,42,6871,6899,6848,6899,6909,6920,6936,6882,6848,6809,6762,6735,6806,6825,6827,6825,6819,6820,6824,6834,6843,6852,6861,6869,6877,6885,6891,6896,6899,6902,6903,6904,6904,6905,6904,6904,6904,6904,6904,6904,7000,7041,7027,6988,6938,6909,6863,6873,6888,6889,6894
4014,4014,Kragerø,3814,38,10695,10710,10700,10621,10636,10607,10586,10506,10406,10380,10416,10351,10413,10445,10438,10423,10397,10375,10357,10342,10327,10314,10300,10287,10274,10261,10248,10234,10220,10205,10190,10176,10161,10147,10133,10119,10106,10093,10081,10069,10656,10620,10610,10559,10584,10529,10477,10481,10614,10620,10620
4226,4226,Hægebostad,4226,42,1639,1665,1669,1690,1693,1702,1702,1699,1683,1680,1690,1704,1750,1776,1777,1776,1772,1768,1764,1760,1755,1751,1747,1742,1737,1733,1729,1725,1721,1718,1715,1712,1709,1707,1705,1702,1700,1697,1694,1691,1621,1643,1602,1622,1616,1594,1583,1599,1597,1620,1624
1121,1121,Time,1121,11,16450,16769,17437,17897,18306,18572,18656,18699,18795,18916,19106,19353,19781,19910,20120,20309,20473,20635,20795,20953,21108,21260,21409,21558,21705,21852,21995,22135,22271,22401,22525,22643,22755,22860,22958,23049,23134,23212,23284,23350,13317,13501,13593,13909,14177,14461,14807,15048,15459,15836,16077
4639,4639,Vik,4639,46,2758,2748,2731,2688,2678,2689,2722,2674,2672,2635,2611,2560,2561,2551,2541,2527,2508,2489,2471,2453,2436,2419,2403,2387,2372,2358,2343,2329,2315,2301,2287,2273,2259,2245,2232,2219,2206,2194,2182,2170,2965,2943,2915,2901,2899,2881,2847,2835,2809,2780,2768
1813,1813,Brønnøy,1813,18,7719,7778,7859,7897,7934,7962,7956,7948,7916,7917,7803,7777,7787,7826,7847,7854,7846,7832,7813,7787,7762,7737,7712,7690,7669,7650,7632,7616,7600,7584,7568,7553,7537,7519,7501,7482,7462,7440,7418,7395,7433,7469,7532,7519,7565,7585,7565,7548,7535,7597,7660
1815,1815,Vega,1815,18,1270,1256,1238,1223,1225,1244,1234,1221,1232,1200,1182,1175,1219,1208,1206,1205,1203,1203,1204,1205,1207,1208,1209,1210,1211,1211,1212,1213,1213,1213,1214,1214,1214,1213,1213,1213,1212,1211,1210,1209,1414,1412,1392,1391,1380,1356,1308,1299,1295,1288,1288
5544,5544,Nordreisa - Ráisa - Raisi,5428,54,4805,4807,4850,4854,4882,4895,4919,4944,4909,4861,4812,4746,4772,4794,4837,4857,4856,4851,4842,4829,4817,4805,4795,4785,4777,4769,4761,4752,4744,4735,4726,4716,4707,4698,4689,4679,4670,4661,4651,4642,4821,4816,4739,4726,4710,4744,4772,4699,4665,4694,4757
3124,3124,Aremark,3012,30,1414,1423,1425,1408,1406,1404,1398,1399,1357,1325,1325,1315,1329,1347,1363,1377,1387,1396,1403,1409,1416,1422,1429,1436,1443,1450,1457,1463,1470,1475,1481,1486,1490,1495,1499,1502,1506,1509,1512,1515,1451,1419,1441,1458,1437,1425,1456,1417,1429,1420,1424
3216,3216,Vestby,3019,30,14708,15143,15605,15944,16310,16732,17188,17486,17824,18042,18290,18699,19089,19493,19833,20126,20374,20610,20833,21046,21252,21453,21648,21840,22027,22213,22393,22569,22740,22908,23073,23236,23397,23554,23708,23855,23996,24131,24258,24377,11815,12241,12515,12724,12834,12990,13159,13414,13825,14095,14373
1146,1146,Tysvær,1146,11,10191,10320,10487,10668,10857,10925,11041,11023,11028,11065,11178,11283,11405,11570,11696,11794,11865,11927,11982,12029,12075,12120,12162,12205,12247,12290,12332,12373,12413,12452,12489,12526,12560,12592,12621,12648,12672,12692,12709,12722,8828,8909,9036,9092,9213,9370,9349,9513,9604,9712,9928
3454,3454,Vang,3454,34,1591,1617,1597,1602,1619,1590,1596,1601,1610,1578,1573,1587,1636,1645,1700,1738,1763,1783,1800,1814,1827,1840,1852,1864,1875,1886,1896,1905,1914,1922,1929,1936,1943,1949,1954,1960,1964,1969,1973,1976,1675,1677,1641,1636,1616,1613,1624,1591,1582,1583,1590
4647,4647,Sunnfjord,4647,46,20713,20917,21273,21459,21564,21702,21872,21963,21959,22030,22020,22116,22215,22450,22546,22604,22625,22639,22649,22652,22653,22655,22656,22658,22660,22663,22664,22663,22659,22653,22644,22632,22618,22601,22581,22557,22530,22499,22465,22428,19052,19200,19318,19408,19490,19500,19715,19770,19995,20200,20469
3431,3431,Dovre,3431,34,2748,2742,2727,2704,2745,2701,2675,2642,2615,2553,2512,2498,2466,2503,2524,2537,2542,2545,2546,2544,2542,2539,2537,2534,2530,2526,2522,2517,2512,2507,2502,2497,2492,2487,2482,2478,2474,2470,2466,2462,2851,2875,2897,2883,2883,2875,2826,2812,2778,2772,2776
5518,5518,Loabák - Lavangen,5415,54,1003,1016,1012,1014,1008,1051,1076,1061,1042,1034,1020,970,983,986,980,972,964,955,947,939,931,923,916,910,904,900,895,891,887,883,879,876,873,869,866,863,860,857,854,851,1052,1031,1050,1069,1063,1029,1035,1011,1010,1023,1012
3909,3909,Larvik,3805,38,45058,45360,45567,45718,45969,46341,46557,46801,47107,47204,47499,47777,48246,48715,49007,49237,49406,49578,49755,49935,50117,50299,50479,50657,50831,51001,51162,51315,51459,51598,51731,51859,51981,52099,52210,52314,52410,52499,52579,52651,42765,43092,43181,43283,43376,43561,43656,43784,44106,44503,44821
1124,1124,Sola,1124,11,23350,23877,24579,25083,25708,26096,26016,26265,26582,27153,27457,27568,28315,28685,29144,29513,29792,30052,30298,30527,30752,30972,31188,31401,31611,31820,32021,32215,32402,32582,32755,32920,33077,33225,33363,33493,33612,33721,33819,33906,18915,19023,19231,19538,19555,19832,20138,20666,21446,22076,22831
1122,1122,Gjesdal,1122,11,10508,10778,11039,11317,11600,11853,11902,11866,11899,12002,12064,12131,12302,12362,12466,12556,12631,12707,12784,12860,12932,13001,13068,13133,13198,13263,13327,13390,13452,13514,13574,13634,13691,13746,13799,13848,13894,13935,13973,14007,8911,8995,9104,9137,9248,9273,9426,9621,9729,9969,10208
3114,3114,Våler (Østfold),3018,30,4573,4705,4857,4978,5100,5186,5335,5471,5593,5736,5805,5913,6023,6145,6307,6449,6573,6690,6799,6903,7003,7099,7193,7284,7372,7459,7543,7626,7706,7785,7861,7936,8009,8079,8146,8210,8271,8328,8381,8431,4059,4113,4126,4002,4003,4020,4071,4152,4268,4437,4472
5055,5055,Heim,5055,50,5871,5885,5911,5954,5988,5982,5996,5969,5975,5963,5941,5884,5880,6093,6203,6265,6289,6297,6291,6271,6251,6231,6212,6192,6173,6154,6134,6115,6095,6075,6055,6036,6018,5999,5981,5963,5945,5928,5910,5893,5866,5869,5836,5830,5829,5814,5799,5787,5817,5821,5847
4613,4613,Bømlo,4613,46,11421,11503,11638,11749,11761,11778,11806,11902,11960,11957,11953,12061,12132,12268,12300,12306,12288,12267,12245,12220,12198,12179,12161,12145,12131,12118,12104,12091,12076,12061,12045,12029,12013,11995,11978,11960,11941,11921,11901,11879,10739,10839,10892,10867,10815,10830,10808,10892,10998,11085,11275
1547,1547,Aukra,1547,15,3249,3289,3339,3377,3466,3518,3547,3557,3539,3509,3522,3518,3654,3678,3749,3802,3841,3878,3912,3945,3977,4007,4037,4066,4094,4121,4147,4172,4195,4218,4240,4261,4282,4301,4320,4338,4355,4370,4385,4398,2978,2968,3026,3038,3055,3050,3099,3142,3174,3183,3196
3328,3328,Ål,3043,30,4713,4741,4761,4713,4716,4711,4719,4626,4671,4674,4648,4650,4862,5007,5174,5276,5325,5353,5361,5351,5343,5338,5333,5330,5327,5325,5323,5321,5318,5315,5311,5305,5299,5292,5285,5277,5268,5260,5251,5242,4789,4762,4730,4708,4656,4670,4662,4642,4686,4640,4672
1838,1838,Gildeskål,1838,18,2020,2000,2006,2023,2014,2043,2024,1998,1978,1950,1920,1894,1928,1958,2028,2078,2111,2136,2153,2164,2175,2186,2198,2209,2220,2230,2240,2249,2257,2264,2271,2277,2282,2287,2291,2295,2298,2300,2302,2304,2351,2268,2276,2220,2215,2178,2107,2081,2046,2053,1996
