"","kommunenummer","KomNavn","area_t0","area_t1","area_t2","pop_t0","pop_t1","pop_t2","km2_change_2000_2022","km2_change_2022_2050","pop_change_2000_2022","pop_change_2022_2050","bpc_t0","bpc_t1","bpc_t2","AGR_pop_1","AGR_pop_2","AGR_bpc_1","AGR_bpc_2","combined_change_class_1","combined_change_class_2","category_1","category_2","BPC_ratio","BPC_ratio_t_1_2","pop_change_class_norsk","pop_change_class_t_1_2_norsk","bpc_change_class_norsk","bpc_change_class_t_1_2_norsk"
"1",5514,"Ibestad",287765.217391303,329086.956521738,381678.260869565,1763,1289,1302,0.041321739130435,0.052591304347827,-474,13,163.224740437495,255.304077984281,293.147665798437,-1.41332732334002,0.0358450650562503,2.05411825830588,0.494867456672776,"pop_Nedgang_bpc_Sterk økning","pop_Stabil_bpc_Moderat økning","c) Nedgang-spredning","e) Moderat arealvekst",1.56412610796613,1.14822946861227,"Nedgang","Stabil","Sterk økning","Moderat økning"
"2",3424,"Rendalen",1039049.99999999,1191932.60869565,1386510.4743083,2257,1722,2055,0.15288260869566,0.19457786561265,-535,333,460.36774479397,692.179215270412,674.700960733966,-1.2222423369718,0.633388337940088,1.87101216166634,-0.0912987691375489,"pop_Nedgang_bpc_Sterk økning","pop_Vekst_bpc_Liten endring","c) Nedgang-spredning","g) Arealeffektiv vekst",1.50353543031167,0.974748946297646,"Nedgang","Vekst","Sterk økning","Liten endring"
"3",3120,"Rakkestad",4023635.86956517,5887085.8695652,8258749.50592886,7076,8312,9392,1.86345000000003,2.37166363636366,1236,1080,568.631411753133,708.263458802358,879.338746372323,0.734463492057835,0.437231685231976,1.0031054347887,0.775686044641177,"pop_Vekst_bpc_Moderat økning","pop_Vekst_bpc_Moderat økning","i) Rask vekst i utbygd areal","i) Rask vekst i utbygd areal",1.24555809644551,1.24154188027609,"Vekst","Vekst","Moderat økning","Moderat økning"
"4",3207,"Nordre Follo",10817921.7391304,14737930.4347826,19727032.4110672,48347,61032,73983,3.9200086956522,4.9891019762846,12685,12951,223.75580158294,241.47873959206,266.642774841074,1.0646922288059,0.689642227455023,0.347083438634344,0.354657448770168,"pop_Vekst_bpc_Moderat økning","pop_Vekst_bpc_Moderat økning","i) Rask vekst i utbygd areal","i) Rask vekst i utbygd areal",1.07920660775605,1.10420807766152,"Vekst","Vekst","Moderat økning","Moderat økning"
"5",5047,"Overhalla",697010.869565217,726632.608695652,764333.003952569,3659,3817,4098,0.0296217391304351,0.0377003952569169,158,281,190.49217533895,190.367463635225,186.51366616705,0.192343323487432,0.254015918182637,-0.00297675524310037,-0.0730151525684453,"pop_Stabil_bpc_Liten endring","pop_Stabil_bpc_Liten endring","d) Stillstand i utbygd areal","d) Stillstand i utbygd areal",0.999345318496661,0.979756007699091,"Stabil","Stabil","Liten endring","Liten endring"
"6",3438,"Sør-Fron",773315.2173913,1048832.60869565,1399491.10671937,3322,3064,3137,0.27551739130435,0.35065849802372,-258,73,232.786037745725,342.308292655238,446.124037844874,-0.366806340065873,0.0841270717376164,1.76814081802337,0.950507664445865,"pop_Nedgang_bpc_Sterk økning","pop_Stabil_bpc_Moderat økning","c) Nedgang-spredning","e) Moderat arealvekst",1.47048463889894,1.30328142033706,"Nedgang","Stabil","Sterk økning","Moderat økning"
"7",3420,"Elverum",4881120.65217388,6746018.47826085,9119524.80237155,18046,21435,22590,1.86489782608697,2.3735063241107,3389,1155,270.482137436212,314.719779718257,403.697423743761,0.785345268610871,0.187612309330598,0.690905789773688,0.893190319848913,"pop_Vekst_bpc_Moderat økning","pop_Stabil_bpc_Moderat økning","i) Rask vekst i utbygd areal","e) Moderat arealvekst",1.16355106736939,1.28272021575878,"Vekst","Stabil","Moderat økning","Moderat økning"
"8",1560,"Tingvoll",665285.869565216,720948.913043477,791792.786561265,3148,2960,3158,0.055663043478261,0.070843873517788,-188,198,211.336044969891,243.563821974148,250.726024876905,-0.279508927193206,0.231516327187076,0.647219627074436,0.103560007369707,"pop_Stabil_bpc_Moderat økning","pop_Stabil_bpc_Liten endring","e) Moderat arealvekst","d) Stillstand i utbygd areal",1.15249541084602,1.02940585693189,"Stabil","Stabil","Moderat økning","Liten endring"
"9",3103,"Moss",15242742.3913042,20151440.2173913,26398873.8142292,39921,50290,60744,4.9086978260871,6.2474335968379,10369,10454,381.822659535187,400.704716989288,434.592285892091,1.05508972271398,0.676787287429459,0.219643275426495,0.290361908506931,"pop_Vekst_bpc_Liten endring","pop_Vekst_bpc_Liten endring","g) Arealeffektiv vekst","g) Arealeffektiv vekst",1.04945242767176,1.08456992759511,"Vekst","Vekst","Liten endring","Liten endring"
"10",4651,"Stryn",4304347.82608697,4304347.82708697,4304347.82808697,6666,7207,7205,0,0,541,-2,645.716745587604,597.245431814482,597.411218332682,0.355324312954686,-0.000991232554470312,-0.354066228504823,0.000991243209713666,"pop_Stabil_bpc_Liten endring","pop_Stabil_bpc_Liten endring","d) Stillstand i utbygd areal","d) Stillstand i utbygd areal",0.924934092070025,1.0002775852428,"Stabil","Stabil","Liten endring","Liten endring"
