"kommunenummer","KomNavn","area_t0","area_t1","area_t2","pop_t0","pop_t1","pop_t2","km2_change_2000_2022","km2_change_2022_2050","pop_change_2000_2022","pop_change_2022_2050","bpc_t0","bpc_t1","bpc_t2","AGR_pop_1","AGR_pop_2","AGR_bpc_1","AGR_bpc_2","APOP","ABPC","APOP_t_1_2","ABPC_t_1_2","pop_change_class_norsk","pop_change_class_t_1_2_norsk","bpc_change_class_norsk","bpc_change_class_t_1_2_norsk","combined_change_class_1","combined_change_class_2","category_1","category_2","BPC_ratio","BPC_ratio_t_1_2","Kyst","iFylke","SSB_Sentralitet","BefUtvSiste10y","SyssUtvSiste10y","Herfindahlsindeksen_omvendt","SSB_Sentr_Kl","Herfindahlsindeksen","rSkog","rDyrketMark","rUrbant","SHAPE_Length","SHAPE_Area","kommunenavn","arealnoytral","arealnoytral_cat"
5514,"Ibestad",287765.217391303,329086.956521738,381678.260869565,1763,1289,1302,0.041321739130435,0.052591304347827,-474,13,163.224740437495,255.304077984281,293.147665798437,-1.41332732334002,0.0358450650562503,2.05411825830588,0.494867456672776,-96439.0412521278,137760.780382563,3559.68273227227,49031.6216155547,"Nedgang","Stabil","Sterk økning","Moderat økning","pop_Nedgang_bpc_Sterk økning","pop_Stabil_bpc_Moderat økning","c) Nedgang-spredning","e) Moderat arealvekst",1.56412610796613,1.14822946861227,1,55,447,-10,-4.9,0.859948952,6,0.140051048,21.1570582578327,1.52688498591217,0.059050800560139,153246.357995306,241003664.323449,"Ibestad",0,"0"
3424,"Rendalen",1039049.99999999,1191932.60869565,1386510.4743083,2257,1722,2055,0.15288260869566,0.19457786561265,-535,333,460.36774479397,692.179215270412,674.700960733966,-1.2222423369718,0.633388337940088,1.87101216166634,-0.0912987691375489,-301323.27468939,454205.88338505,227487.450184649,-32909.5845719993,"Nedgang","Vekst","Sterk økning","Liten endring","pop_Nedgang_bpc_Sterk økning","pop_Vekst_bpc_Liten endring","c) Nedgang-spredning","g) Arealeffektiv vekst",1.50353543031167,0.974748946297646,0,34,486,-7.4,-23.2,0.926197562,6,0.073802438,55.95327581923,0.761752597098295,0.02044340165623,301558.744473048,3179982301.12437,"Rendalen",0,"0"
3120,"Rakkestad",4023635.86956517,5887085.8695652,8258749.50592886,7076,8312,9392,1.86345000000003,2.37166363636366,1236,1080,568.631411753133,708.263458802358,879.338746372323,0.734463492057835,0.437231685231976,1.0031054347887,0.775686044641177,788279.390540591,1075170.60945944,855856.365711848,1515807.27065181,"Vekst","Vekst","Moderat økning","Moderat økning","pop_Vekst_bpc_Moderat økning","pop_Vekst_bpc_Moderat økning","i) Rask vekst i utbygd areal","i) Rask vekst i utbygd areal",1.24555809644551,1.24154188027609,0,31,785,6.5,-4.1,0.936953206,3,0.063046794,65.1114126060662,25.9295881527813,0.556488145882678,107524.363356357,434967141.633841,"Rakkestad",1,"1"
3207,"Nordre Follo",10817921.7391304,14737930.4347826,19727032.4110672,48347,61032,73983,3.9200086956522,4.9891019762846,12685,12951,223.75580158294,241.47873959206,266.642774841074,1.0646922288059,0.689642227455023,0.347083438634344,0.354657448770168,2953684.12871746,966324.566934736,3292872.99142152,1696228.98486308,"Vekst","Vekst","Moderat økning","Moderat økning","pop_Vekst_bpc_Moderat økning","pop_Vekst_bpc_Moderat økning","i) Rask vekst i utbygd areal","i) Rask vekst i utbygd areal",1.07920660775605,1.10420807766152,1,32,923,12.6,8.3,0.916460783,2,0.083539217,60.701953549974,19.2895321886382,5.95525282626177,95691.3395835324,203100540.014132,"Nordre Follo",1,"1"
5047,"Overhalla",697010.869565217,726632.608695652,764333.003952569,3659,3817,4098,0.0296217391304351,0.0377003952569169,158,281,190.49217533895,190.367463635225,186.51366616705,0.192343323487432,0.254015918182637,-0.00297675524310037,-0.0730151525684453,30087.8409887482,-466.101858313081,52943.5435108493,-15243.1482539323,"Stabil","Stabil","Liten endring","Liten endring","pop_Stabil_bpc_Liten endring","pop_Stabil_bpc_Liten endring","d) Stillstand i utbygd areal","d) Stillstand i utbygd areal",0.999345318496661,0.979756007699091,0,50,611,5,6.5,0.912832307,5,0.087167693,51.9539757550853,6.21601260187658,0.108211766317376,145101.66247468,729864763.1094,"Overhalla",0,"0"
3438,"Sør-Fron",773315.2173913,1048832.60869565,1399491.10671937,3322,3064,3137,0.27551739130435,0.35065849802372,-258,73,232.786037745725,342.308292655238,446.124037844874,-0.366806340065873,0.0841270717376164,1.76814081802337,0.950507664445865,-73091.6655692228,348609.056873573,28625.5424171955,322032.955606524,"Nedgang","Stabil","Sterk økning","Moderat økning","pop_Nedgang_bpc_Sterk økning","pop_Stabil_bpc_Moderat økning","c) Nedgang-spredning","e) Moderat arealvekst",1.47048463889894,1.30328142033706,0,34,615,1.5,-4,0.891386506,5,0.108613494,45.337572924105,4.57956642998612,0.123954136969321,236289.776708177,743013362.697418,"Sør-Fron",0,"0"
3420,"Elverum",4881120.65217388,6746018.47826085,9119524.80237155,18046,21435,22590,1.86489782608697,2.3735063241107,3389,1155,270.482137436212,314.719779718257,403.697423743761,0.785345268610871,0.187612309330598,0.690905789773688,0.893190319848913,991882.093609047,873015.732477922,413204.896487351,1960301.42762335,"Vekst","Stabil","Moderat økning","Moderat økning","pop_Vekst_bpc_Moderat økning","pop_Stabil_bpc_Moderat økning","i) Rask vekst i utbygd areal","e) Moderat arealvekst",1.16355106736939,1.28272021575878,0,34,787,6,2.4,0.941133936,3,0.0588660640000001,79.6968932781244,4.23177983681372,0.547479398342105,195894.511907503,1229238990.36261,"Elverum",0,"0"
1560,"Tingvoll",665285.869565216,720948.913043477,791792.786561265,3148,2960,3158,0.055663043478261,0.070843873517788,-188,198,211.336044969891,243.563821974148,250.726024876905,-0.279508927193206,0.231516327187076,0.647219627074436,0.103560007369707,-42657.8771135593,98320.9205918202,48938.9213976015,21904.9521201866,"Stabil","Stabil","Moderat økning","Liten endring","pop_Stabil_bpc_Moderat økning","pop_Stabil_bpc_Liten endring","e) Moderat arealvekst","d) Stillstand i utbygd areal",1.15249541084602,1.02940585693189,1,15,568,-2.7,-3.7,0.944266319,5,0.055733681,45.1604595879556,3.65887480190174,0.101030110935024,242684.693687802,337527646.739014,"Tingvoll",0,"0"
3103,"Moss",15242742.3913042,20151440.2173913,26398873.8142292,39921,50290,60744,4.9086978260871,6.2474335968379,10369,10454,381.822659535187,400.704716989288,434.592285892091,1.05508972271398,0.676787287429459,0.219643275426495,0.290361908506931,4059990.23966156,848707.586425544,4369274.05262142,1878159.54421648,"Vekst","Vekst","Liten endring","Liten endring","pop_Vekst_bpc_Liten endring","pop_Vekst_bpc_Liten endring","g) Arealeffektiv vekst","g) Arealeffektiv vekst",1.04945242767176,1.08456992759511,1,31,900,11.5,6.3,0.946731451,2,0.053268549,25.0138855827977,13.4848845512973,4.57827501388558,144108.719133608,137860570.380035,"Moss",0,"0"
4651,"Stryn",4304347.82608697,4304347.82708697,4304347.82808697,6666,7207,7205,0,0,541,-2,645.716745587604,597.245431814482,597.411218332682,0.355324312954686,-0.000991232554470312,-0.354066228504823,0.000991243209713666,335880.294189974,-335880.293189974,-1194.65662770467,1194.65762770493,"Stabil","Stabil","Liten endring","Liten endring","pop_Stabil_bpc_Liten endring","pop_Stabil_bpc_Liten endring","d) Stillstand i utbygd areal","d) Stillstand i utbygd areal",0.924934092070025,1.0002775852428,1,46,603,2,-0.1,0.94058818,5,0.05941182,25.9033504095554,2.14982330219434,0.0910884036928472,297779.707074595,1387029780.06487,"Stryn",0,"0"
