"kommunenummer","iKomNr","KomNavn","Kyst","iFylke","SSB_Sentralitet","BefUtvSiste10y","SyssUtvSiste10y","Herfindahlsindeksen_omvendt","SSB_Sentr_Kl","Herfindahlsindeksen","rSkog","rDyrketMark","rUrbant","SHAPE_Length","SHAPE_Area"
"5514",5514,"Ibestad",1,55,447,-10,-4.9,0.859948952,6,0.140051048,21.1570582578327,1.52688498591217,0.059050800560139,153246.357995306,241003664.323449
"3424",3424,"Rendalen",0,34,486,-7.4,-23.2,0.926197562,6,0.073802438,55.95327581923,0.761752597098295,0.02044340165623,301558.744473048,3179982301.12437
"3120",3120,"Rakkestad",0,31,785,6.5,-4.1,0.936953206,3,0.063046794,65.1114126060662,25.9295881527813,0.556488145882678,107524.363356357,434967141.633841
"3207",3207,"Nordre Follo",1,32,923,12.6,8.3,0.916460783,2,0.083539217,60.701953549974,19.2895321886382,5.95525282626177,95691.3395835324,203100540.014132
"5047",5047,"Overhalla",0,50,611,5,6.5,0.912832307,5,0.087167693,51.9539757550853,6.21601260187658,0.108211766317376,145101.66247468,729864763.1094
"3438",3438,"Sør-Fron",0,34,615,1.5,-4,0.891386506,5,0.108613494,45.337572924105,4.57956642998612,0.123954136969321,236289.776708177,743013362.697418
"3420",3420,"Elverum",0,34,787,6,2.4,0.941133936,3,0.0588660640000001,79.6968932781244,4.23177983681372,0.547479398342105,195894.511907503,1229238990.36261
"1560",1560,"Tingvoll",1,15,568,-2.7,-3.7,0.944266319,5,0.055733681,45.1604595879556,3.65887480190174,0.101030110935024,242684.693687802,337527646.739014
"3103",3103,"Moss",1,31,900,11.5,6.3,0.946731451,2,0.053268549,25.0138855827977,13.4848845512973,4.57827501388558,144108.719133608,137860570.380035
"4651",4651,"Stryn",1,46,603,2,-0.1,0.94058818,5,0.05941182,25.9033504095554,2.14982330219434,0.0910884036928472,297779.707074595,1387029780.06487
"4601",4601,"Bergen",1,46,895,8,8.8,0.962515645,2,0.037484355,33.1328153773304,2.6219330398639,9.6844911345341,375295.406715236,467546663.706518
"1820",1820,"Alstahaug",1,18,653,-0.8,-0.7,0.939998389,5,0.060001611,11.187245822084,4.14032329722156,0.404975906496702,909756.113812389,188074433.887466
"3422",3422,"Åmot",0,34,638,-4,-5.6,0.907997321,5,0.092002679,75.2356501556075,1.49487652155742,0.0955288041734146,197235.573603516,1340008288.23781
"1806",1806,"Narvik",1,18,686,-2.4,-4.3,0.944344665,4,0.055655335,20.9803557376007,0.473143717404162,0.127328448743579,950430.680142233,3430265535.17407
"1120",1120,"Klepp",1,11,851,13.1,18.7,0.937702243,3,0.062297757,1.92073654690724,39.488861844542,2.01597968146463,62859.4547981222,114217862.599696
"5028",5028,"Melhus",1,50,776,10.6,13.1,0.927849439,3,0.0721505609999999,66.3517587939699,10.1809045226131,0.449389806173726,149139.662161697,694822240.407524
"3447",3447,"Søndre Land",0,34,692,-2.4,-9,0.933262874,4,0.066737126,79.8146495503536,3.35552962174779,0.219674606988398,144434.437656544,728966371.397746
"5056",5056,"Hitra",1,50,551,10.7,10.2,0.910266763,6,0.089733237,14.8775456091678,1.03214791533283,0.0355690071073343,1683788.25065946,757053852.749238
"3234",3234,"Lunner",0,32,785,4.8,2.1,0.923440133,3,0.0765598669999999,77.4910910087719,9.78961074561404,0.812088815789474,97192.3099399499,292022660.039681
"4640",4640,"Sogndal",1,46,659,10.2,11.8,0.942303796,5,0.057696204,34.4300806604927,1.68314277178784,0.19825642975476,396917.351917318,1262793486.5406
"3320",3320,"Flå",0,33,617,4.5,18.8,0.914050974,5,0.085949026,67.0808070768313,1.01239581410539,0.00993936984395189,134841.428656563,705294145.216558
"1865",1865,"Vågan",1,18,650,5.7,8.8,0.947580478,5,0.052419522,7.86803353912898,0.468254630402136,0.121495911897213,1085972.20944979,478802112.123291
"5616",5616,"Hasvik",1,56,351,-5.2,-12.3,0.81208595,6,0.18791405,1.29646620354804,0.000569875254306832,0.0245046359351938,602662.700190554,556193950.379767
"1859",1859,"Flakstad",1,18,522,-11.3,-7.9,0.846114922,6,0.153885078,1.2038508613288,0.420160391662556,0.038362470543103,298454.755561467,178327368.936982
"3105",3105,"Sarpsborg",1,31,877,9.9,25.9,0.946597644,2,0.053402356,57.6298967382396,17.9057297398553,3.77221532769804,190537.671120522,405755814.777106
"1525",1525,"Stranda",1,15,628,-4.1,1.5,0.877271576,5,0.122728424,24.8917267596387,1.54918093543844,0.132363374524816,278224.401751469,868877583.957419
"5534",5534,"Karlsøy",1,55,452,-6.3,3,0.841505362,6,0.158494638,6.89027640933031,0.125044309786113,0.0092108531762092,1078268.3219105,1091458421.33821
"3218",3218,"Ås",1,32,895,21.5,42.5,0.917621673,2,0.082378327,46.8659594985535,36.5091610414658,4.49373191899711,81108.6348935598,102740224.096838
"3411",3411,"Ringsaker",0,34,797,6.2,9.1,0.938690384,3,0.061309616,52.2869485739284,13.745127295737,0.727292612238202,185855.219048018,1280648757.93723
"4227",4227,"Kvinesdal",1,42,650,2.1,-1.1,0.922407146,5,0.077592854,47.916602348389,1.94910108775071,0.102909244337419,243977.365933636,967593706.315823
"3305",3305,"Ringerike",0,33,838,7,7.5,0.949320569,3,0.0506794310000001,79.3312327181532,4.85370715709601,0.47585364285255,261479.037043018,1556673264.11559
"4611",4611,"Etne",1,46,604,0.8,-2.6,0.935930755,5,0.064069245,25.6483370615275,2.65111477102333,0.120449349819326,270677.012393186,739096055.252765
"4211",4211,"Gjerstad",0,42,661,-2.5,17.4,0.875288889,5,0.124711111,84.2765343184429,2.25064414987738,0.111756123304256,88714.4835948006,322832426.863136
